id,first,last,team,deck,primary_pos,deck_team
1156,Joe,Morgan,14,Hall Of Fame,4,Cincinnati Reds
1157,Eddie,Murray,16,Hall Of Fame,3,Baltimore Orioles
1158,Stan,Musial,17,Hall Of Fame,3,St. Louis Cardinals
1159,Hal,Newhouser,27,Hall Of Fame,1,Detroit Tigers
1160,Kid,Nichols,15,Hall Of Fame,1,Boston Braves
1161,Phil,Niekro,16,Hall Of Fame,1,Atlanta Braves
1162,Jim,O’Rourke,27,Hall Of Fame,7,New York Giants
1163,Mel,Ott,18,Hall Of Fame,9,New York Giants
1164,Satchel,Paige,13,Hall Of Fame,1,Kansas City Monarchs
1165,Jim,Palmer,19,Hall Of Fame,1,Baltimore Orioles
1166,Herb,Pennock,9,Hall Of Fame,1,New York Yankees
1167,Tony,Perez,9,Hall Of Fame,3,Cincinnati Reds
1168,Gaylord,Perry,12,Hall Of Fame,1,San Francisco Giants
1169,Eddie,Plank,17,Hall Of Fame,1,Philadelphia Athletics
1170,Kirby,Puckett,28,Hall Of Fame,8,Minnesota Twins
1171,Old Hoss,Radbourn,26,Hall Of Fame,1,Providence Grays
1172,Pee Wee,Reese,13,Hall Of Fame,6,Brooklyn Dodgers
1173,Jim,Rice,29,Hall Of Fame,7,Boston Red Sox
1174,Sam,Rice,8,Hall Of Fame,9,Washington Senators
1175,Cal,Ripken Jr.,8,Hall Of Fame,6,Baltimore Orioles
1176,Eppa,Rixey,10,Hall Of Fame,1,Cincinnati Reds
1177,Phil,Rizzuto,26,Hall Of Fame,6,New York Yankees
1178,Robin,Roberts,29,Hall Of Fame,1,Philadelphia Phillies
1179,Brooks,Robinson,7,Hall Of Fame,5,Baltimore Orioles
1180,Frank,Robinson,16,Hall Of Fame,9,Cincinnati Reds
1181,Jackie,Robinson,9,Hall Of Fame,4,Brooklyn Dodgers
1182,Bullet Joe,Rogan,17,Hall Of Fame,8,Kansas City Monarchs
1183,Edd,Roush,8,Hall Of Fame,8,Cincinnati Reds
1184,Red,Ruffing,28,Hall Of Fame,1,New York Yankees
1185,Amos,Rusie,13,Hall Of Fame,1,New York Giants
1186,Babe,Ruth,29,Hall Of Fame,9,New York Yankees
1187,Nolan,Ryan,14,Hall Of Fame,1,California Angels
1188,Ryne,Sandberg,19,Hall Of Fame,4,Chicago Cubs
1189,Ron,Santo,13,Hall Of Fame,5,Chicago Cubs
1190,Louis,Santop,19,Hall Of Fame,2,Hilldale Daisies
1191,Ray,Schalk,27,Hall Of Fame,2,Chicago White Sox
1192,Mike,Schmidt,4,Hall Of Fame,5,Philadelphia Phillies
1193,Red,Schoendienst,28,Hall Of Fame,4,St. Louis Cardinals
1194,Tom,Seaver,16,Hall Of Fame,1,New York Mets
1195,Joe,Sewell,16,Hall Of Fame,5,Cleveland Indians
1196,Al,Simmons,5,Hall Of Fame,1,Philadelphia Athletics
1197,George,Sisler,27,Hall Of Fame,3,St. Louis Browns
1198,Enos,Slaughter,7,Hall Of Fame,9,St. Louis Cardinals
1199,Hilton,Smith,9,Hall Of Fame,1,Kansas City Monarchs
1200,Ozzie,Smith,10,Hall Of Fame,6,St. Louis Cardinals
1201,Duke,Snider,25,Hall Of Fame,8,Brooklyn Dodgers
1202,Warren,Spahn,14,Hall Of Fame,1,Milwaukee Braves
1203,Al,Spalding,16,Hall Of Fame,1,Chicago White Stockings
1204,Tris,Speaker,7,Hall Of Fame,8,Cleveland Indians
1205,Willie,Stargell,13,Hall Of Fame,7,Pittsburgh Pirates
1206,Turkey,Stearnes,26,Hall Of Fame,8,Detroit Stars
1207,Bruce,Sutter,4,Hall Of Fame,1,Chicago Cubs
1208,Mule,Suttles,19,Hall Of Fame,3,Newark Eagles
1209,Don,Sutton,10,Hall Of Fame,1,Los Angeles Dodgers
1210,Ben,Taylor,28,Hall Of Fame,3,Indianapolis ABCs
1211,Bill,Terry,4,Hall Of Fame,3,New York Giants
1212,Frank,Thomas,12,Hall Of Fame,10,Chicago White Sox
1213,Sam,Thompson,27,Hall Of Fame,9,Philadelphia Phillies
1214,Joe,Tinker,29,Hall Of Fame,5,Chicago Cubs
1215,Cristobal,Torriente,9,Hall Of Fame,8,Chicago American Giants
1216,Pie,Traynor,28,Hall Of Fame,5,Pittsburgh Pirates
1217,Dazzy,Vance,4,Hall Of Fame,1,Brooklyn Dodgers
1218,Arky,Vaughan,16,Hall Of Fame,6,Pittsburgh Pirates
1219,Rube,Waddell,14,Hall Of Fame,1,Philadelphia Athletics
1220,Honus,Wagner,29,Hall Of Fame,6,Pittsburgh Pirates
1221,Bobby,Wallace,10,Hall Of Fame,5,St. Louis Browns
1222,Ed,Walsh,12,Hall Of Fame,1,Chicago White Sox
1223,Lloyd,Waner,15,Hall Of Fame,7,Pittsburgh Pirates
1224,Paul,Waner,18,Hall Of Fame,9,Pittsburgh Pirates
1225,John,Ward,19,Hall Of Fame,6,New York Giants
1226,Mickey,Welch,25,Hall Of Fame,1,New York Giants
1227,Willie,Wells,13,Hall Of Fame,6,St. Louis Stars
1228,Zack,Wheat,12,Hall Of Fame,7,Brooklyn Dodgers
1229,Deacon,White,12,Hall Of Fame,2,Buffalo Bisons
1230,Hoyt,Wilhelm,28,Hall Of Fame,1,Chicago White Sox
1231,Billy,Williams,15,Hall Of Fame,7,Chicago Cubs
1232,Smokey Joe,Williams,29,Hall Of Fame,1,New York Lincoln Giants
1233,Ted,Williams,16,Hall Of Fame,7,Boston Red Sox
1234,Vic,Willis,5,Hall Of Fame,1,Boston Braves
1235,Hack,Wilson,10,Hall Of Fame,8,Chicago Cubs
1236,Jud,Wilson,25,Hall Of Fame,5,Philadelphia Stars
1237,Dave,Winfield,8,Hall Of Fame,9,New York Yankees
1238,Early,Wynn,10,Hall Of Fame,1,Cleveland Indians
1239,Carl,Yastrzemski,25,Hall Of Fame,7,Boston Red Sox
1240,Cy,Young,7,Hall Of Fame,1,Cleveland Spiders
1241,Ross,Youngs,5,Hall Of Fame,9,New York Giants
1242,Robin,Yount,7,Hall Of Fame,8,Milwaukee Brewers
