id,first,last,t
236,Eddie,Mathews,15
245,Bid,McPhee,15
300,Tim,Salmon,15
343,Eddie,Taubensee,15
356,Lloyd,Waner,15
368,Billy,Williams,15
27,Cool Papa,Bell,16
37,Sean,Berry,16
62,Gary,Carter,16
105,Hugh,Duffy,16
141,Joe,Gordon,16
161,Scott,Hatteberg,16
244,Mark,McGwire,16
258,Eddie,Murray,16
292,Frank,Robinson,16
311,Joe,Sewell,16
346,Arky,Vaughan,16
349,Fernando,Vina,16
370,Ted,Williams,16
19,Earl,Averill,17
76,Roberto,Clemente,17
96,Ed,Delahanty,17
158,Darryl,Hamilton,17
160,Bill,Haselman,17
167,Billy,Herman,17
169,Richard,Hidalgo,17
219,Freddy,Lindstrom,17
220,Pop,Lloyd,17
226,Biz,Mackey,17
259,Stan,Musial,17
264,Paul,O’Neill,17
296,Bullet Joe,Rogan,17
333,Fernando,Tatis,17
24,Ernie,Banks,18
68,Orlando,Cepeda,18
103,Larry,Doby,18
156,Chick,Hafey,18
197,George,Kell,18
214,Tony,Lazzeri,18
222,Ernie,Lombardi,18
256,Lyle,Mouton,18
266,Jose,Offerman,18
270,Mel,Ott,18
284,Jeff,Reed,18
357,Paul,Waner,18
365,Rondell,White,18
91,Johnny,Damon,20
102,Gary,DiSarcina,20
129,Gary,Gaetti,20
134,Jason,Giambi,20
140,Tom,Goodwin,20
146,Willie,Greene,20
173,Chris,Hoiles,20
208,Mark,Kotsay,20
228,Wendell,Magee,20
232,Eli,Marrero,20
366,Mark,Whiten,20
377,Tony,Womack,20
7,Jermaine,Allensworth,21
25,Tony,Batista,21
63,Joe,Carter,21
65,Sean,Casey,21
85,Joey,Cora,21
120,Cliff,Floyd,21
125,Matt,Franco,21
127,Travis,Fryman,21
151,Mark,Grudzielanek,21
268,Maggio,Ordonez,21
278,Jorge,Posada,21
327,Terry,Steinbach,21
3,Kurt,Abbott,22
31,Carlos,Beltran,22
88,Midre,Cummings,22
176,Tyler,Houston,22
193,David,Justice,22
242,Quinton,McCracken,22
273,Dean,Palmer,22
323,Bill,Spiers,22
329,Kelly,Stinnett,22
337,Jim,Thome,22
364,Devon,White,22
380,Eric,Young,22
42,Aaron,Boone,24
67,Frank,Catalanotto,24
136,Joe,Girardi,24
148,Ben,Grieve,24
187,Lance,Johnson,24
188,Andruw,Jones,24
195,Eric,Karros,24
207,Ryan,Klesko,24
225,Shane,Mack,24
260,Greg,Myers,24
347,Greg,Vaughn,24
350,Omar,Vizquel,24
43,Jim,Bottomley,25
56,Jesse,Burkett,25
109,Juan,Encarnacion,25
114,Buck,Ewing,25
133,Charlie,Gehringer,25
143,Mark,Grace,25
190,Brian,Jordan,25
200,King,Kelly,25
212,Barry,Larkin,25
315,Mike,Simms,25
320,Duke,Snider,25
374,Jud,Wilson,25
378,Carl,Yastrzemski,25
9,Moises,Alou,26
47,George,Brett,26
48,Lou,Brock,26
93,Eric,Davis,26
110,Darin,Erstad,26
124,Jimmie,Foxx,26
202,Jason,Kendall,26
206,Chuck,Klein,26
209,Nap,Lajoie,26
255,Hal,Morris,26
290,Phil,Rizzuto,26
326,Turkey,Stearnes,26
353,Larry,Walker,26
13,Luis,Aparicio,27
32,Marvin,Benard,27
80,Eddie,Collins,27
92,Ray,Dandridge,27
172,Pete,Hill,27
174,Harry,Hooper,27
183,Reggie,Jefferson,27
227,Dave,Magadan,27
265,Jim,O’Rourke,27
306,Ray,Schalk,27
316,George,Sisler,27
338,Sam,Thompson,27
369,Gerald,Williams,27
1,Hank,Aaron,28
38,Dante,Bichette,28
49,Scott,Brosius,28
83,Roger,Connor,28
87,Joe,Cronin,28
117,Carlton,Fisk,28
189,Chipper,Jones,28
230,Heinie,Manush,28
247,Jose,Mendez,28
279,Todd,Pratt,28
280,Kirby,Puckett,28
308,Red,Schoendienst,28
334,Ben,Taylor,28
342,Pie,Traynor,28
33,Johnny,Bench,29
61,Max,Carey,29
98,Delino,DeShields,29
113,Johnny,Evers,29
118,Darrin,Fletcher,29
155,Tony,Gwynn,29
192,Wally,Joyner,29
217,Jim,Leyritz,29
241,Willie,McCovey,29
287,Jim,Rice,29
299,Babe,Ruth,29
339,Joe,Tinker,29
351,Honus,Wagner,29
354,Todd,Walker,29
2,Jeff,Abbott,30
5,Edgardo,Alfonzo,30
10,Rich,Amaral,30
52,Brant,Brown,30
75,Royce,Clayton,30
107,Damion,Easley,30
137,Doug,Glanville,30
168,Carlos,Hernandez,30
182,Gregg,Jefferies,30
243,Fred,McGriff,30
344,John,Vander Wal,30
345,Jason,Varitek,30
