first,last,team,deck
Mark,Leiter,5,1998
Curt,Leskanic,3,1998
Al,Levine,21,1998
Darren,Lewis,99,1998
Mark,Lewis,99,1998
Jim,Leyritz,29,1998
Jon,Lieber,4,1998
Mike,Lieberthal,6,1998
Kerry,Lightenberg,19,1998
Jose,Lima,19,1998
Nelson,Liriano,99,1998
Scott,Livingstone,99,1998
Graeme,Lloyd,4,1998
Esteban,Loaiza,2,1998
Keith,Lockhart,99,1998
Carlton,Loewer,99,1998
Kenny,Lofton,2,1998
Albie,Lopez,18,1998
Javy,Lopez,10,1998
Luis,Lopez,99,1998
Mendy,Lopez,99,1998
Mark,Loretta,14,1998
Derek,Lowe,17,1998
Matt,Luke,99,1998
John,Mabry,99,1998
Mike,Macfarlane,99,1998
Robert,Machado,99,1998
Shane,Mack,24,1998
Greg,Maddux,99,1998
Mike,Maddux,28,1998
Dave,Magadan,27,1998
Wendell,Magee,20,1998
Mike,Magnante,2,1998
Marty,Malloy,99,1998
Shane,Manahan,99,1998
Matt,Mantei,26,1998
Kirt,Manwaring,99,1998
Eli,Marrero,20,1998
Al,Martin,99,1998
Norberto,Martin,99,1998
Dave,Martinez,99,1998
Dennis,Martinez,20,1998
Edgar,Martinez,15,1998
Greg,Martinez,99,1998
Javier,Martinez,30,1998
Manny,Martinez,99,1998
Pedro,Martinez,23,1998
Ramon,Martinez,28,1998
Sandy,Martinez,2,1998
Tino,Martinez,11,1998
John,Marzano,99,1998
Mike,Matheny,99,1998
T.J.,Mathews,24,1998
Derrick,May,99,1998
Brent,Mayne,14,1998
Greg,McCarthy,1,1998
Quinton,McCracken,22,1998
Jason,McDonald,99,1998
Jack,McDowell,2,1998
Chuck,McElroy,7,1998
Willie,McGee,99,1998
Fred,McGriff,30,1998
Ryan,McGuire,99,1998
Mark,McGwire,16,1998
Mark,McLemore,99,1998
Greg,McMichael,23,1998
Brian,McRae,99,1998
Brian,Meadows,20,1998
Pat,Meares,99,1998
Jim,Mecir,14,1998
Rafael,Medina,99,1998
Ramiro,Mendoza,10,1998
Orlando,Merced,1,1998
Kent,Mercker,3,1998
Jose,Mesa,26,1998
Dan,Miceli,12,1998
Matt,Mieske,1,1998
Trever,Miller,10,1998
Alan,Mills,4,1998
Eric,Milton,99,1998
Kevin,Milwood,27,1998
Kevin,Mitchell,99,1998
Dave,Mlicki,24,1998
Brian,Moehler,8,1998
Mike,Mohler,3,1998
Paul,Molitor,99,1998
Raul,Mondesi,6,1998
Jeff,Montgomery,11,1998
Trey,Moore,1,1998
Mickey,Morandini,13,1998
Mike,Mordecai,99,1998
Mike,Morgan,18,1998
Hal,Morris,26,1998
Matt,Morris,29,1998
Lyle,Mouton,18,1998
Jamie,Moyer,10,1998
Bill,Mueller,23,1998
Terry,Mulholland,7,1998
Mike,Munoz,99,1998
Mike,Mussina,15,1998
Greg,Myers,24,1998
Mike,Myers,29,1998
Randy,Myers,20,1998
Charles,Nagy,24,1998
Jaime,Navarro,99,1998
Denny,Neagle,7,1998
Jeff,Nelson,9,1998
Robb,Nen,14,1998
Phil,Nevin,99,1998
Marc,Newfield,99,1998
Melvin,Nieves,99,1998
Dave,Nilsson,99,1998
C.J.,Nitkowski,12,1998
Otis,Nixon,8,1998
Hideo,Nomo,21,1998
Greg,Norton,99,1998
Jon,Nunnally,99,1998
Charlie,O’Brien,1,1998
Troy,O’Leary,2,1998
Paul,O’Neill,17,1998
Alex,Ochoa,99,1998
Jose,Offerman,18,1998
Chad,Ogea,99,1998
Kirt,Ojala,11,1998
John,Olerud,23,1998
Omar,Olivares,9,1998
Joe,Oliver,99,1998
Gregg,Olson,27,1998
Mike,Oquist,99,1998
Luis,Ordaz,99,1998
Magglio,Ordonez,21,1998
Rey,Ordonez,99,1998
Kevin,Orie,99,1998
Jesse,Orosco,19,1998
David,Ortiz,3,1998
Russ,Ortiz,30,1998
Donovan,Osborne,3,1998
Antonio,Osuna,29,1998
Tom,Pagnozzi,99,1998
Lance,Painter,13,1998
Donn,Pall,20,1998
Orlando,Palmeiro,9,1998
Rafael,Palmeiro,5,1998
Dean,Palmer,22,1998
Mark,Parent,99,1998
Chan Ho,Park,27,1998
Jim,Parque,24,1998
Steve,Parris,23,1998
Danny,Patterson,2,1998
Carl,Pavano,6,1998
Terry,Pendleton,99,1998
Troy,Percival,14,1998
Carlos,Perez,29,1998
Eddie,Perez,7,1998
Eduardo,Perez,99,1998
Neifi,Perez,4,1998
Yorkis,Perez,18,1998
Robert,Person,99,1998
Chris,Peters,17,1998
Mark,Petkovsek,11,1998
Andy,Pettitte,22,1998
J.R.,Phillips,99,1998
Tony,Phillips,99,1998
Mike,Piazza,23,1998
Hipolito,Pichardo,2,1998
Marc,Pisciotta,24,1998
Jim,Pittsley,99,1998
Dan,Plesac,19,1998
Placido,Polanco,99,1998
Kevin,Polcovich,99,1998
Sidney,Ponson,22,1998
Mark,Portugal,1,1998
Jorge,Posada,21,1998
Brian,Powell,99,1998
Jay,Powell,4,1998
Todd,Pratt,28,1998
Curtis,Pride,99,1998
Tom,Prince,99,1998
Bill,Pulsipher,24,1998
Paul,Quantrill,15,1998
Scott,Radinsky,13,1998
Brad,Radke,20,1998
Ryan,Radmanovich,99,1998
Tim,Raines,2,1998
Aramis,Ramirez,99,1998
Manny,Ramirez,2,1998
Joe,Randa,99,1998
Pat,Rapp,99,1998
Jeff,Reboulet,99,1998
Mike,Redmond,5,1998
Jeff,Reed,18,1998
